Key;Brotación en camara;Brotación en Campo;Dias acumulando calor;zona;variedad;ue_str;tratamiento
Melipilla-Santina-004-Control;04-08-2024;12-09-2024;38,42857143;melipilla;santina;004;control
Melipilla-Santina-008-Control;08-08-2024;12-09-2024;35;melipilla;santina;008;control
Melipilla-Santina-010-Control;29-07-2024;12-09-2024;44,93103448;melipilla;santina;010;control
Melipilla-Santina-016-Control;04-08-2024;12-09-2024;38,15789474;melipilla;santina;016;control
Melipilla-Santina-017-Control;06-08-2024;12-09-2024;36,26315789;melipilla;santina;017;control
Pichidegua-Santina-004-Control;09-08-2024;06-09-2024;28,3;pichidegua;santina;004;control
Pichidegua-Santina-008-Control;08-08-2024;08-09-2024;30,43043478;pichidegua;santina;008;control
Pichidegua-Santina-010-Control;02-08-2024;08-09-2024;36,75647059;pichidegua;santina;010;control
Pichidegua-Santina-016-Control;09-08-2024;09-09-2024;30,72727273;pichidegua;santina;016;control
Pichidegua-Santina-017-Control;06-08-2024;04-09-2024;28,3173913;pichidegua;santina;017;control
Viluco-Santina-004-Control;06-08-2024;11-09-2024;35,9;viluco;santina;004;control
Viluco-Santina-008-Control;09-08-2024;06-09-2024;27,2;viluco;santina;008;control
Viluco-Santina-010-Control;08-08-2024;06-09-2024;28,6;viluco;santina;010;control
Viluco-Santina-016-Control;05-08-2024;06-09-2024;31,36363636;viluco;santina;016;control
Viluco-Santina-017-Control;07-08-2024;06-09-2024;29,7826087;viluco;santina;017;control
Teno Poniente-Santina-004-Control;02-08-2024;10-09-2024;38,22580645;teno poniente;santina;004;control
Teno Poniente-Santina-008-Control;06-08-2024;10-09-2024;34,73333333;teno poniente;santina;008;control
Teno Poniente-Santina-010-Control;02-08-2024;10-09-2024;38,14285714;teno poniente;santina;010;control
Teno Poniente-Santina-016-Control;03-08-2024;10-09-2024;37,77272727;teno poniente;santina;016;control
Teno Poniente-Santina-017-Control;06-08-2024;10-09-2024;34,80952381;teno poniente;santina;017;control
Teno Oriente-Kordia-004-Control;12-08-2024;20-09-2024;39,39343568;teno oriente;kordia;004;control
Teno Oriente-Kordia-008-Control;19-08-2024;20-09-2024;32,93189721;teno oriente;kordia;008;control
Teno Oriente-Kordia-010-Control;14-08-2024;20-09-2024;37,75007903;teno oriente;kordia;010;control
Teno Oriente-Kordia-016-Control;14-08-2024;20-09-2024;37,45363634;teno oriente;kordia;016;control
Teno Oriente-Kordia-017-Control;13-08-2024;20-09-2024;38,53189721;teno oriente;kordia;017;control
Sarmiento-Kordia-004-Control;12-08-2024;24-09-2024;42,41663696;sarmiento;kordia;004;control
Sarmiento-Kordia-008-Control;16-08-2024;24-09-2024;38,18930618;sarmiento;kordia;008;control
Sarmiento-Kordia-010-Control;11-08-2024;24-09-2024;43,5396955;sarmiento;kordia;010;control
Sarmiento-Kordia-016-Control;10-08-2024;24-09-2024;44,453674;sarmiento;kordia;016;control
Sarmiento-Kordia-017-Control;12-08-2024;24-09-2024;42,27418682;sarmiento;kordia;017;control
Teno Montaña-Kordia-004-Control;25-08-2024;21-09-2024;26,44444444;teno montaña;kordia;004;control
Teno Montaña-Kordia-008-Control;24-08-2024;21-09-2024;27,23076923;teno montaña;kordia;008;control
Teno Montaña-Kordia-010-Control;26-08-2024;21-09-2024;25,25925926;teno montaña;kordia;010;control
Teno Montaña-Kordia-016-Control;26-08-2024;21-09-2024;25,76470588;teno montaña;kordia;016;control
Teno Montaña-Kordia-017-Control;27-08-2024;21-09-2024;24,58064516;teno montaña;kordia;017;control
Wapri (Los Niches 1)-Kordia-004-Control;23-08-2024;17-09-2024;24,11764706;wapri (los niches 1);kordia;004;control
Wapri (Los Niches 1)-Kordia-008-Control;24-08-2024;17-09-2024;23,09090909;wapri (los niches 1);kordia;008;control
Wapri (Los Niches 1)-Kordia-010-Control;25-08-2024;17-09-2024;22,96551724;wapri (los niches 1);kordia;010;control
Wapri (Los Niches 1)-Kordia-016-Control;24-08-2024;17-09-2024;23,81818182;wapri (los niches 1);kordia;016;control
Wapri (Los Niches 1)-Kordia-017-Control;24-08-2024;17-09-2024;24;wapri (los niches 1);kordia;017;control
