duracion_latencia_dias,absorbancia,concentracion_almidon_mg_por_g,peso_yema_mg,peso_fresco,peso_seco,porcentaje_humedad,zona_id,variedad_id,tratamiento_entrada_id,tratamiento_salida_id,chill_25_uta,chill_50_uta,chill_75_uta,chill_100_uta,chill_25_simple,chill_50_simple,chill_75_simple,chill_100_simple
117.0,,,,0.4124,0.2157,52.30358874878758,2,1,2,7,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
113.0,,,,0.3628,0.1818999999999999,50.13781697905181,2,1,1,8,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
110.0,,,,0.318,0.1591,50.03144654088052,2,1,0,11,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
121.0,,,,0.5819,0.2839,48.788451623990376,2,1,3,6,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
120.0,,,,0.3339999999999999,0.1667,49.910179640718574,2,1,4,11,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
127.0,,,,0.4454,0.2213,49.68567579703637,2,1,5,7,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
116.0,0.9595,20.47587882575858,200.3,0.3845999999999999,0.1889,49.11596463858556,2,1,3,8,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
130.0,1.0239,21.97432454198589,200.2,0.4387,0.2055999999999999,46.86573968543424,2,1,0,6,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
112.0,1.1227,24.11295807901249,201.4,0.3768,0.1875,49.76114649681528,2,1,1,8,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
136.0,0.721,14.892787443725428,201.3,0.3354999999999999,0.1645999999999999,49.06110283159463,2,1,5,6,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
122.0,1.0012,21.36437866186072,201.0,0.2673999999999999,0.1323999999999999,49.51383694839191,2,1,2,11,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
112.0,0.9832,21.00231724643976,200.5,0.4866,0.2359,48.47924373201808,2,1,4,7,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
122.0,,,,0.5835,0.287,49.1859468723222,2,1,3,8,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
128.0,,,,0.3439,0.1731999999999999,50.36347775516137,2,1,5,11,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
113.0,,,,0.3877,0.2022,52.15372710858912,2,1,1,7,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
117.0,,,,0.382,0.1927,50.44502617801048,2,1,0,6,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
114.0,,,,0.5578000000000001,0.2805999999999999,50.30476873431336,2,1,4,6,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
120.0,,,,0.5218,0.2581,49.46339593714066,2,1,2,8,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
112.0,1.2386,26.775330034197346,201.4,0.2263,0.1117,49.359257622624845,2,1,4,11,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
115.0,1.1459,24.79361951950432,200.2,0.4092,0.1997,48.80254154447703,2,1,1,7,400.0,836.0,1236.0,1421.0,334.0,717.0,998.0,1180.0
120.0,,,,0.7121,0.3413,47.92866170481675,3,1,2,15,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
118.0,,,,0.2795999999999999,0.132,47.21030042918456,3,1,1,16,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
116.0,,,,0.4335,0.2093,48.28143021914648,3,1,0,12,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
125.0,,,,0.4206,0.2047,48.66856871136472,3,1,3,6,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
118.0,,,,0.2973,0.1513,50.89135553313152,3,1,4,12,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
124.0,,,,0.4799,0.2435999999999999,50.76057511981662,3,1,5,15,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
127.0,1.0801,23.11143055417865,201.6,0.3704999999999999,0.1888999999999999,50.98515519568151,3,1,3,16,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
121.0,1.2988,28.326981831492585,200.2,0.3400999999999999,0.1695,49.83828285798296,3,1,0,6,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
121.0,1.1238,24.282911167019424,200.2,0.3406,0.1661,48.76688197298884,3,1,1,16,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
123.0,0.4556,8.8063038957422,201.0,0.2166,0.1077999999999999,49.76915974145891,3,1,5,6,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
133.0,1.2129,26.276295745367733,200.7,0.3122,0.1521,48.71877001921845,3,1,2,12,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
117.0,1.1452,24.740369755694044,200.5,0.3123999999999999,0.1566,50.12804097311141,3,1,4,15,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
123.0,,,,0.1911,0.0963,50.39246467817896,3,1,3,16,378.0,808.0,1318.0,1636.0,256.0,672.0,1094.0,1308.0
