entidad_id,fecha,muestreo,peso_fresco,peso_seco,porcentaje_humedad,zona_id,zona,variedad_id,variedad,tratamiento_entrada_id,tratamiento_entrada,tratamiento_salida_id,tratamiento_salida,ue,_merge
0,2024-04-19,M1,0.4124,0.2157,52.30358874878758,2,pichidegua,1,santina,2,zn+eth,7,dormex 3% + break,1,both
1,2024-04-19,M1,0.3628,0.1818999999999999,50.13781697905181,2,pichidegua,1,santina,1,fsh,8,dormex 2% + 2% ac. mineral,2,both
2,2024-04-19,M1,0.318,0.1591,50.03144654088052,2,pichidegua,1,santina,0,control,11,erger 5% + nca 6%,3,both
3,2024-04-19,M1,0.5819,0.2839,48.788451623990376,2,pichidegua,1,santina,3,zn+u+eth,6,control,4,both
4,2024-04-19,M1,0.3339999999999999,0.1667,49.910179640718574,2,pichidegua,1,santina,4,ethephon,11,erger 5% + nca 6%,5,both
5,2024-04-19,M1,0.4454,0.2213,49.68567579703637,2,pichidegua,1,santina,5,aba,7,dormex 3% + break,6,both
6,2024-04-19,M1,0.3845999999999999,0.1889,49.11596463858556,2,pichidegua,1,santina,3,zn+u+eth,8,dormex 2% + 2% ac. mineral,7,both
7,2024-04-19,M1,0.4387,0.2055999999999999,46.86573968543424,2,pichidegua,1,santina,0,control,6,control,8,both
8,2024-04-19,M1,0.3768,0.1875,49.76114649681528,2,pichidegua,1,santina,1,fsh,8,dormex 2% + 2% ac. mineral,9,both
9,2024-04-19,M1,0.3354999999999999,0.1645999999999999,49.06110283159463,2,pichidegua,1,santina,5,aba,6,control,10,both
10,2024-04-19,M1,0.2673999999999999,0.1323999999999999,49.51383694839191,2,pichidegua,1,santina,2,zn+eth,11,erger 5% + nca 6%,11,both
11,2024-04-19,M1,0.4866,0.2359,48.47924373201808,2,pichidegua,1,santina,4,ethephon,7,dormex 3% + break,12,both
12,2024-04-19,M1,0.5835,0.287,49.1859468723222,2,pichidegua,1,santina,3,zn+u+eth,8,dormex 2% + 2% ac. mineral,13,both
13,2024-04-19,M1,0.3439,0.1731999999999999,50.36347775516137,2,pichidegua,1,santina,5,aba,11,erger 5% + nca 6%,14,both
14,2024-04-19,M1,0.3877,0.2022,52.15372710858912,2,pichidegua,1,santina,1,fsh,7,dormex 3% + break,15,both
15,2024-04-19,M1,0.382,0.1927,50.44502617801048,2,pichidegua,1,santina,0,control,6,control,16,both
16,2024-04-19,M1,0.5578000000000001,0.2805999999999999,50.30476873431336,2,pichidegua,1,santina,4,ethephon,6,control,17,both
17,2024-04-19,M1,0.5218,0.2581,49.46339593714066,2,pichidegua,1,santina,2,zn+eth,8,dormex 2% + 2% ac. mineral,18,both
18,2024-04-19,M1,0.2263,0.1117,49.359257622624845,2,pichidegua,1,santina,4,ethephon,11,erger 5% + nca 6%,19,both
19,2024-04-19,M1,0.4092,0.1997,48.80254154447703,2,pichidegua,1,santina,1,fsh,7,dormex 3% + break,20,both
20,2024-04-19,M1,0.386,0.193,50.0,2,pichidegua,1,santina,3,zn+u+eth,13,,21,both
21,2024-04-19,M1,0.6048,0.2975,49.18981481481481,2,pichidegua,1,santina,2,zn+eth,13,,22,both
22,2024-04-19,M1,0.2306,0.1154,50.04336513443192,2,pichidegua,1,santina,0,control,13,,23,both
23,2024-04-19,M1,0.3236,0.1549,47.867737948084056,2,pichidegua,1,santina,5,aba,13,,24,both
24,2024-04-19,M1,0.4222999999999999,0.2111,49.98816007577552,2,pichidegua,1,santina,3,zn+u+eth,13,,25,both
25,2024-04-19,M1,0.4039999999999999,0.1994,49.35643564356436,2,pichidegua,1,santina,4,ethephon,13,,26,both
26,2024-04-19,M1,0.4286000000000001,0.2112,49.27671488567429,2,pichidegua,1,santina,0,control,13,,27,both
27,2024-04-19,M1,0.5033,0.2512,49.910590105304976,2,pichidegua,1,santina,2,zn+eth,13,,28,both
28,2024-01-19,M1,0.5557,0.2816000000000001,50.67482454561816,2,pichidegua,1,santina,1,fsh,13,,29,both
29,2024-04-19,M1,0.3702999999999999,0.1794,48.4472049689441,2,pichidegua,1,santina,5,aba,13,,30,both
0,2024-05-17,M2,0.3945999999999999,0.1891,47.921946274708574,2,pichidegua,1,santina,2,zn+eth,7,dormex 3% + break,1,both
1,2024-05-17,M2,0.3811,0.187,49.06848596168985,2,pichidegua,1,santina,1,fsh,8,dormex 2% + 2% ac. mineral,2,both
