fecha_datetime,temperatura
2024-01-01 00:00:00,
2024-01-01 01:00:00,11.4
2024-01-01 02:00:00,10.8
2024-01-01 03:00:00,9.4
2024-01-01 04:00:00,8.4
2024-01-01 05:00:00,7.8
2024-01-01 06:00:00,7.6
2024-01-01 07:00:00,10.7
2024-01-01 08:00:00,16.2
2024-01-01 09:00:00,18.0
2024-01-01 10:00:00,20.4
2024-01-01 11:00:00,22.9
2024-01-01 12:00:00,24.9
2024-01-01 13:00:00,26.3
2024-01-01 14:00:00,28.5
2024-01-01 15:00:00,30.5
2024-01-01 16:00:00,30.4
2024-01-01 17:00:00,30.8
2024-01-01 18:00:00,28.9
2024-01-01 19:00:00,27.5
2024-01-01 20:00:00,24.9
2024-01-01 21:00:00,19.2
2024-01-01 22:00:00,16.0
2024-01-01 23:00:00,14.2
2024-01-02 00:00:00,12.9
2024-01-02 01:00:00,11.8
2024-01-02 02:00:00,11.0
2024-01-02 03:00:00,10.1
2024-01-02 04:00:00,9.4
2024-01-02 05:00:00,8.8
2024-01-02 06:00:00,8.3
2024-01-02 07:00:00,11.8
2024-01-02 08:00:00,16.1
2024-01-02 09:00:00,19.1
2024-01-02 10:00:00,21.7
2024-01-02 11:00:00,23.8
2024-01-02 12:00:00,26.2
2024-01-02 13:00:00,27.9
2024-01-02 14:00:00,29.6
2024-01-02 15:00:00,30.7
2024-01-02 16:00:00,31.3
2024-01-02 17:00:00,31.5
2024-01-02 18:00:00,31.3
2024-01-02 19:00:00,30.2
2024-01-02 20:00:00,27.2
2024-01-02 21:00:00,18.8
2024-01-02 22:00:00,15.5
2024-01-02 23:00:00,13.9
2024-01-03 00:00:00,13.1
2024-01-03 01:00:00,12.8
2024-01-03 02:00:00,11.7
2024-01-03 03:00:00,11.0
2024-01-03 04:00:00,10.4
2024-01-03 05:00:00,11.5
2024-01-03 06:00:00,10.0
2024-01-03 07:00:00,13.1
2024-01-03 08:00:00,17.9
2024-01-03 09:00:00,19.5
2024-01-03 10:00:00,21.5
2024-01-03 11:00:00,24.1
2024-01-03 12:00:00,27.6
2024-01-03 13:00:00,28.9
2024-01-03 14:00:00,31.4
2024-01-03 15:00:00,32.9
2024-01-03 16:00:00,32.6
2024-01-03 17:00:00,33.2
2024-01-03 18:00:00,32.6
2024-01-03 19:00:00,29.0
2024-01-03 20:00:00,25.7
2024-01-03 21:00:00,20.9
2024-01-03 22:00:00,17.3
2024-01-03 23:00:00,16.4
2024-01-04 00:00:00,14.5
2024-01-04 01:00:00,13.3
2024-01-04 02:00:00,12.0
2024-01-04 03:00:00,11.8
2024-01-04 04:00:00,11.9
2024-01-04 05:00:00,10.4
2024-01-04 06:00:00,9.9
2024-01-04 07:00:00,12.8
2024-01-04 08:00:00,17.9
2024-01-04 09:00:00,20.2
2024-01-04 10:00:00,22.8
2024-01-04 11:00:00,25.8
2024-01-04 12:00:00,27.6
2024-01-04 13:00:00,29.0
2024-01-04 14:00:00,30.3
2024-01-04 15:00:00,31.3
2024-01-04 16:00:00,31.4
2024-01-04 17:00:00,31.2
2024-01-04 18:00:00,29.0
2024-01-04 19:00:00,26.7
2024-01-04 20:00:00,23.3
2024-01-04 21:00:00,19.5
2024-01-04 22:00:00,16.3
2024-01-04 23:00:00,14.6
2024-01-05 00:00:00,13.5
2024-01-05 01:00:00,12.6
2024-01-05 02:00:00,11.9
2024-01-05 03:00:00,11.0
2024-01-05 04:00:00,10.3
2024-01-05 05:00:00,9.7
2024-01-05 06:00:00,9.5
2024-01-05 07:00:00,11.7
2024-01-05 08:00:00,16.0
2024-01-05 09:00:00,18.7
2024-01-05 10:00:00,21.8
2024-01-05 11:00:00,23.5
2024-01-05 12:00:00,24.9
2024-01-05 13:00:00,25.1
2024-01-05 14:00:00,25.1
2024-01-05 15:00:00,25.5
2024-01-05 16:00:00,25.4
2024-01-05 17:00:00,23.6
2024-01-05 18:00:00,21.9
2024-01-05 19:00:00,20.8
2024-01-05 20:00:00,19.6
2024-01-05 21:00:00,17.5
2024-01-05 22:00:00,16.5
2024-01-05 23:00:00,17.6
2024-01-06 00:00:00,16.6
2024-01-06 01:00:00,16.0
2024-01-06 02:00:00,15.0
2024-01-06 03:00:00,13.6
2024-01-06 04:00:00,13.0
2024-01-06 05:00:00,13.4
2024-01-06 06:00:00,12.9
2024-01-06 07:00:00,12.6
2024-01-06 08:00:00,14.9
2024-01-06 09:00:00,16.8
2024-01-06 10:00:00,19.6
2024-01-06 11:00:00,23.0
2024-01-06 12:00:00,24.8
2024-01-06 13:00:00,26.6
2024-01-06 14:00:00,28.0
2024-01-06 15:00:00,29.1
2024-01-06 16:00:00,29.0
2024-01-06 17:00:00,29.8
2024-01-06 18:00:00,29.2
2024-01-06 19:00:00,26.3
2024-01-06 20:00:00,23.6
2024-01-06 21:00:00,19.3
2024-01-06 22:00:00,17.0
2024-01-06 23:00:00,18.1
2024-01-07 00:00:00,16.0
2024-01-07 01:00:00,15.3
2024-01-07 02:00:00,14.6
2024-01-07 03:00:00,13.8
2024-01-07 04:00:00,12.6
2024-01-07 05:00:00,12.5
2024-01-07 06:00:00,13.3
2024-01-07 07:00:00,13.6
2024-01-07 08:00:00,14.2
2024-01-07 09:00:00,15.5
2024-01-07 10:00:00,18.3
2024-01-07 11:00:00,21.7
2024-01-07 12:00:00,24.0
2024-01-07 13:00:00,25.5
2024-01-07 14:00:00,27.3
2024-01-07 15:00:00,28.3
2024-01-07 16:00:00,28.9
2024-01-07 17:00:00,29.3
2024-01-07 18:00:00,28.7
2024-01-07 19:00:00,27.7
2024-01-07 20:00:00,25.4
2024-01-07 21:00:00,19.8
2024-01-07 22:00:00,19.3
2024-01-07 23:00:00,19.7
2024-01-08 00:00:00,18.3
2024-01-08 01:00:00,17.1
2024-01-08 02:00:00,16.0
2024-01-08 03:00:00,15.2
2024-01-08 04:00:00,14.2
2024-01-08 05:00:00,12.7
2024-01-08 06:00:00,11.2
2024-01-08 07:00:00,12.3
2024-01-08 08:00:00,15.6
2024-01-08 09:00:00,17.3
2024-01-08 10:00:00,19.2
2024-01-08 11:00:00,21.8
2024-01-08 12:00:00,24.3
2024-01-08 13:00:00,26.1
2024-01-08 14:00:00,27.6
2024-01-08 15:00:00,29.4
2024-01-08 16:00:00,29.7
2024-01-08 17:00:00,29.3
2024-01-08 18:00:00,29.0
2024-01-08 19:00:00,28.0
2024-01-08 20:00:00,25.4
2024-01-08 21:00:00,18.7
2024-01-08 22:00:00,16.8
2024-01-08 23:00:00,
2024-01-09 00:00:00,17.5
2024-01-09 01:00:00,15.5
2024-01-09 02:00:00,12.4
2024-01-09 03:00:00,11.0
2024-01-09 04:00:00,11.6
2024-01-09 05:00:00,10.1
2024-01-09 06:00:00,9.5
2024-01-09 07:00:00,10.5
2024-01-09 08:00:00,14.3
2024-01-09 09:00:00,16.4
2024-01-09 10:00:00,18.8
2024-01-09 11:00:00,21.8
2024-01-09 12:00:00,23.6
2024-01-09 13:00:00,26.1
2024-01-09 14:00:00,27.6
2024-01-09 15:00:00,28.8
2024-01-09 16:00:00,29.3
2024-01-09 17:00:00,29.2
2024-01-09 18:00:00,29.2
2024-01-09 19:00:00,28.3
2024-01-09 20:00:00,25.9
2024-01-09 21:00:00,18.8
2024-01-09 22:00:00,15.6
