zona,variedad,modelo_heat,horas_calor_promedio,horas_calor_std,horas_calor_min,horas_calor_max,n_observaciones_heat,zona_variedad_heat,modelo_cold,horas_frio_promedio,horas_frio_std,horas_frio_min,horas_frio_max,n_observaciones_cold,zona_variedad_cold
melipilla,santina,heat_hours,175.0,7.968688725254614,168.0,188.0,5,melipilla | santina,chill_hours,404.6,51.451919303365166,352.0,490.0,5.0,melipilla | santina
melipilla,santina,heat_hours,175.0,7.968688725254614,168.0,188.0,5,melipilla | santina,utah_cu,607.3,43.7444282166312,562.0,680.0,5.0,melipilla | santina
melipilla,santina,heat_hours,175.0,7.968688725254614,168.0,188.0,5,melipilla | santina,utah_positivo,718.0,49.40394721072396,670.0,801.5,5.0,melipilla | santina
melipilla,santina,hgc,6447.910099999999,540.8653459465132,5919.062033333334,7340.0012,5,melipilla | santina,chill_hours,404.6,51.451919303365166,352.0,490.0,5.0,melipilla | santina
melipilla,santina,hgc,6447.910099999999,540.8653459465132,5919.062033333334,7340.0012,5,melipilla | santina,utah_cu,607.3,43.7444282166312,562.0,680.0,5.0,melipilla | santina
melipilla,santina,hgc,6447.910099999999,540.8653459465132,5919.062033333334,7340.0012,5,melipilla | santina,utah_positivo,718.0,49.40394721072396,670.0,801.5,5.0,melipilla | santina
pichidegua,santina,heat_hours,92.8,13.292855223765883,72.0,106.0,5,pichidegua | santina,chill_hours,449.8,53.718711823721165,379.0,522.0,5.0,pichidegua | santina
pichidegua,santina,heat_hours,92.8,13.292855223765883,72.0,106.0,5,pichidegua | santina,utah_cu,672.1,37.764732224656385,613.5,712.5,5.0,pichidegua | santina
pichidegua,santina,heat_hours,92.8,13.292855223765883,72.0,106.0,5,pichidegua | santina,utah_positivo,707.6,37.764732224656385,649.0,748.0,5.0,pichidegua | santina
pichidegua,santina,hgc,4682.813233333333,526.3638089439218,4095.817,5433.166166666668,5,pichidegua | santina,chill_hours,449.8,53.718711823721165,379.0,522.0,5.0,pichidegua | santina
pichidegua,santina,hgc,4682.813233333333,526.3638089439218,4095.817,5433.166166666668,5,pichidegua | santina,utah_cu,672.1,37.764732224656385,613.5,712.5,5.0,pichidegua | santina
pichidegua,santina,hgc,4682.813233333333,526.3638089439218,4095.817,5433.166166666668,5,pichidegua | santina,utah_positivo,707.6,37.764732224656385,649.0,748.0,5.0,pichidegua | santina
santa ana,regina,heat_hours,54.0,0.0,54.0,54.0,5,santa ana | regina,chill_hours,718.2,35.39350222851646,656.0,745.0,5.0,santa ana | regina
santa ana,regina,heat_hours,54.0,0.0,54.0,54.0,5,santa ana | regina,utah_cu,872.2,39.75644601822451,803.0,901.0,5.0,santa ana | regina
santa ana,regina,heat_hours,54.0,0.0,54.0,54.0,5,santa ana | regina,utah_positivo,905.2,39.75644601822451,836.0,934.0,5.0,santa ana | regina
santa ana,regina,hgc,4084.396833333333,204.87261163952627,3979.716833333333,4450.1168333333335,5,santa ana | regina,chill_hours,718.2,35.39350222851646,656.0,745.0,5.0,santa ana | regina
santa ana,regina,hgc,4084.396833333333,204.87261163952627,3979.716833333333,4450.1168333333335,5,santa ana | regina,utah_cu,872.2,39.75644601822451,803.0,901.0,5.0,santa ana | regina
