"",zona,variedad,tratamiento_entrada,ue,tratamiento_salida,fecha_entrada_latencia,fecha_salida_latencia,entidad_id,duracion_latencia_dias,absorbancia,concentracion_almidon_mg_por_g,peso_yema_mg,muestreo,peso_fresco,peso_seco,porcentaje_humedad,zona_id,variedad_id,tratamiento_entrada_id,tratamiento_salida_id
0,pichidegua,santina,zn+eth,1,dormex 3% + break,2024-05-08,2024-09-02,0,117.0,,,,M1,0.4124,0.2157,52.30358874878758,2,1,2,7
1,pichidegua,santina,fsh,2,dormex 2% + 2% ac. mineral,2024-05-12,2024-09-02,1,113.0,,,,M1,0.3628,0.1818999999999999,50.13781697905181,2,1,1,8
2,pichidegua,santina,control,3,erger 5% + nca 6%,2024-05-15,2024-09-02,2,110.0,,,,M1,0.318,0.1591,50.03144654088052,2,1,0,11
3,pichidegua,santina,zn+u+eth,4,control,2024-05-05,2024-09-03,3,121.0,,,,M1,0.5819,0.2839,48.788451623990376,2,1,3,6
4,pichidegua,santina,ethephon,5,erger 5% + nca 6%,2024-05-12,2024-09-09,4,120.0,,,,M1,0.3339999999999999,0.1667,49.910179640718574,2,1,4,11
5,pichidegua,santina,aba,6,dormex 3% + break,2024-05-05,2024-09-09,5,127.0,,,,M1,0.4454,0.2213,49.68567579703637,2,1,5,7
6,pichidegua,santina,zn+u+eth,7,dormex 2% + 2% ac. mineral,2024-05-09,2024-09-02,6,116.0,0.9595,20.47587882575858,200.3,M1,0.3845999999999999,0.1889,49.11596463858556,2,1,3,8
7,pichidegua,santina,control,8,control,2024-05-14,2024-09-21,7,130.0,1.0239,21.97432454198589,200.2,M1,0.4387,0.2055999999999999,46.86573968543424,2,1,0,6
8,pichidegua,santina,fsh,9,dormex 2% + 2% ac. mineral,2024-05-13,2024-09-02,8,112.0,1.1227,24.11295807901249,201.4,M1,0.3768,0.1875,49.76114649681528,2,1,1,8
9,pichidegua,santina,aba,10,control,2024-05-03,2024-09-16,9,136.0,0.721,14.892787443725428,201.3,M1,0.3354999999999999,0.1645999999999999,49.06110283159463,2,1,5,6
10,pichidegua,santina,zn+eth,11,erger 5% + nca 6%,2024-05-03,2024-09-02,10,122.0,1.0012,21.36437866186072,201.0,M1,0.2673999999999999,0.1323999999999999,49.51383694839191,2,1,2,11
11,pichidegua,santina,ethephon,12,dormex 3% + break,2024-05-13,2024-09-02,11,112.0,0.9832,21.00231724643976,200.5,M1,0.4866,0.2359,48.47924373201808,2,1,4,7
12,pichidegua,santina,zn+u+eth,13,dormex 2% + 2% ac. mineral,2024-05-03,2024-09-02,12,122.0,,,,M1,0.5835,0.287,49.1859468723222,2,1,3,8
13,pichidegua,santina,aba,14,erger 5% + nca 6%,2024-05-04,2024-09-09,13,128.0,,,,M1,0.3439,0.1731999999999999,50.36347775516137,2,1,5,11
14,pichidegua,santina,fsh,15,dormex 3% + break,2024-05-12,2024-09-02,14,113.0,,,,M1,0.3877,0.2022,52.15372710858912,2,1,1,7
15,pichidegua,santina,control,16,control,2024-05-21,2024-09-15,15,117.0,,,,M1,0.382,0.1927,50.44502617801048,2,1,0,6
16,pichidegua,santina,ethephon,17,control,2024-05-11,2024-09-02,16,114.0,,,,M1,0.5578000000000001,0.2805999999999999,50.30476873431336,2,1,4,6
17,pichidegua,santina,zn+eth,18,dormex 2% + 2% ac. mineral,2024-05-05,2024-09-02,17,120.0,,,,M1,0.5218,0.2581,49.46339593714066,2,1,2,8
18,pichidegua,santina,ethephon,19,erger 5% + nca 6%,2024-05-13,2024-09-02,18,112.0,1.2386,26.775330034197346,201.4,M1,0.2263,0.1117,49.359257622624845,2,1,4,11
19,pichidegua,santina,fsh,20,dormex 3% + break,2024-05-10,2024-09-02,19,115.0,1.1459,24.79361951950432,200.2,M1,0.4092,0.1997,48.80254154447703,2,1,1,7
20,teno prado,santina,zn+eth,1,dormex 2% + break,2024-05-07,2024-09-04,30,120.0,,,,M1,0.7121,0.3413,47.92866170481675,3,1,2,15
21,teno prado,santina,fsh,2,"dormex 1,5% + 2% ac. mineral",2024-05-09,2024-09-04,31,118.0,,,,M1,0.2795999999999999,0.132,47.21030042918456,3,1,1,16
22,teno prado,santina,control,3,erger 5% + nca 4%,2024-05-11,2024-09-04,32,116.0,,,,M1,0.4335,0.2093,48.28143021914648,3,1,0,12
23,teno prado,santina,zn+u+eth,4,control,2024-05-05,2024-09-07,33,125.0,,,,M1,0.4206,0.2047,48.66856871136472,3,1,3,6
24,teno prado,santina,ethephon,5,erger 5% + nca 4%,2024-05-09,2024-09-04,34,118.0,,,,M1,0.2973,0.1513,50.89135553313152,3,1,4,12
25,teno prado,santina,aba,6,dormex 2% + break,2024-05-03,2024-09-04,35,124.0,,,,M1,0.4799,0.2435999999999999,50.76057511981662,3,1,5,15
26,teno prado,santina,zn+u+eth,7,"dormex 1,5% + 2% ac. mineral",2024-04-30,2024-09-04,36,127.0,1.0801,23.11143055417865,201.6,M1,0.3704999999999999,0.1888999999999999,50.98515519568151,3,1,3,16
27,teno prado,santina,control,8,control,2024-05-06,2024-09-04,37,121.0,1.2988,28.326981831492585,200.2,M1,0.3400999999999999,0.1695,49.83828285798296,3,1,0,6
28,teno prado,santina,fsh,9,"dormex 1,5% + 2% ac. mineral",2024-05-08,2024-09-06,38,121.0,1.1238,24.282911167019424,200.2,M1,0.3406,0.1661,48.76688197298884,3,1,1,16
29,teno prado,santina,aba,10,control,2024-05-05,2024-09-05,39,123.0,0.4556,8.8063038957422,201.0,M1,0.2166,0.1077999999999999,49.76915974145891,3,1,5,6
30,teno prado,santina,zn+eth,11,erger 5% + nca 4%,2024-05-03,2024-09-13,40,133.0,1.2129,26.276295745367733,200.7,M1,0.3122,0.1521,48.71877001921845,3,1,2,12
31,teno prado,santina,ethephon,12,dormex 2% + break,2024-05-10,2024-09-04,41,117.0,1.1452,24.740369755694044,200.5,M1,0.3123999999999999,0.1566,50.12804097311141,3,1,4,15
32,teno prado,santina,zn+u+eth,13,"dormex 1,5% + 2% ac. mineral",2024-05-04,2024-09-04,42,123.0,,,,M1,0.1911,0.0963,50.39246467817896,3,1,3,16
33,teno prado,santina,aba,14,erger 5% + nca 4%,2024-05-05,2024-09-04,43,122.0,,,,M1,0.3247,0.1563,48.13674160763783,3,1,5,12
34,teno prado,santina,fsh,15,dormex 2% + break,2024-05-07,2024-09-04,44,120.0,,,,M1,0.2654999999999999,0.1294999999999999,48.7758945386064,3,1,1,15
35,teno prado,santina,control,16,control,2024-05-10,2024-09-11,45,124.0,,,,M1,0.4570999999999999,0.2254,49.31087289433384,3,1,0,6
36,teno prado,santina,ethephon,17,control,2024-05-10,2024-09-09,46,122.0,,,,M1,0.5298,0.2512999999999999,47.43299358248394,3,1,4,6
37,teno prado,santina,zn+eth,18,"dormex 1,5% + 2% ac. mineral",2024-05-01,2024-09-04,47,126.0,,,,M1,0.5685,0.2750999999999999,48.390501319261205,3,1,2,16
38,teno prado,santina,ethephon,19,erger 5% + nca 4%,2024-05-08,2024-09-04,48,119.0,1.0481,22.511073157871166,200.4,M1,0.687,0.323,47.016011644832616,3,1,4,12
39,teno prado,santina,fsh,20,dormex 2% + break,2024-05-08,2024-09-04,49,119.0,0.8052,16.92884762800187,200.1,M1,0.663,0.3138999999999999,47.34539969834087,3,1,1,15
40,melipilla,santina,zn+eth,1,dormex 3% + break,2024-05-12,2024-09-02,60,113.0,,,,M1,0.3012,0.1434,47.60956175298805,0,1,2,7
41,melipilla,santina,fsh,2,dormex 2% + 2% ac. mineral,2024-05-14,2024-09-07,61,116.0,,,,M1,0.4414,0.2182,49.43362029904848,0,1,1,8
42,melipilla,santina,control,3,erger 5% + nca 6%,2024-05-11,2024-09-02,62,114.0,,,,M1,0.3592,0.1771,49.30400890868597,0,1,0,11
43,melipilla,santina,zn+u+eth,4,control,2024-05-10,2024-09-18,63,131.0,,,,M1,0.1771999999999999,0.0913999999999999,51.58013544018059,0,1,3,6
44,melipilla,santina,ethephon,5,erger 5% + nca 6%,2024-05-17,2024-09-06,64,112.0,,,,M1,0.2505,0.1551999999999999,61.95608782435127,0,1,4,11
45,melipilla,santina,aba,6,dormex 3% + break,2024-05-17,2024-09-02,65,108.0,,,,M1,0.499,0.2413,48.3567134268537,0,1,5,7
46,melipilla,santina,zn+u+eth,7,dormex 2% + 2% ac. mineral,2024-05-13,2024-09-02,66,112.0,1.2495,27.10647117751525,200.8,M1,0.3907,0.1941999999999999,49.70565651394932,0,1,3,8
47,melipilla,santina,control,8,control,2024-05-21,2024-09-09,67,111.0,0.5673,11.399989252690691,200.6,M1,0.3246,0.1545,47.59704251386322,0,1,0,6
48,melipilla,santina,fsh,9,dormex 2% + 2% ac. mineral,2024-05-13,2024-09-05,68,115.0,1.1314,24.470762536844,200.1,M1,0.1819999999999999,0.0901999999999999,49.56043956043956,0,1,1,8
49,melipilla,santina,aba,10,control,2024-05-13,2024-09-13,69,123.0,1.3412,29.27755407528685,200.4,M1,0.539,0.2616,48.53432282003711,0,1,5,6
50,melipilla,santina,zn+eth,11,erger 5% + nca 6%,2024-05-11,2024-09-02,70,114.0,1.1926,25.85989163374993,200.3,M1,0.4724,0.2294,48.560541913632505,0,1,2,11
