entidad_id,momento,fecha_flores,fecha_frutos,numero_flores,numero_frutos,porcentaje_cuaja,dias_entre_flores_y_frutos
0,M2,2024-09-16,2024-10-29,45,20.0,0.4444444444444444,43
0,M3,2024-10-01,2024-11-14,45,20.0,0.4444444444444444,44
1,M2,2024-09-16,2024-10-29,40,17.0,0.425,43
1,M3,2024-10-01,2024-11-14,40,17.0,0.425,44
2,M2,2024-09-16,2024-10-29,51,17.0,0.3333333333333333,43
2,M3,2024-10-01,2024-11-14,65,21.0,0.3230769230769231,44
3,M2,2024-09-16,2024-10-29,51,18.0,0.35294117647058826,43
3,M3,2024-10-01,2024-11-14,51,9.0,0.17647058823529413,44
4,M2,2024-09-16,2024-10-29,25,9.0,0.36,43
4,M3,2024-10-01,2024-11-14,64,12.0,0.1875,44
5,M2,2024-09-16,2024-10-29,42,9.0,0.21428571428571427,43
5,M3,2024-10-01,2024-11-14,54,7.0,0.12962962962962962,44
6,M2,2024-09-16,2024-10-29,63,23.0,0.36507936507936506,43
6,M3,2024-10-01,2024-11-14,63,20.0,0.31746031746031744,44
7,M3,2024-10-01,2024-11-14,23,5.0,0.21739130434782608,44
8,M2,2024-09-16,2024-10-29,52,11.0,0.21153846153846154,43
8,M3,2024-10-01,2024-11-14,52,9.0,0.17307692307692307,44
9,M2,2024-09-16,2024-10-29,7,2.0,0.2857142857142857,43
9,M3,2024-10-01,2024-11-14,16,3.0,0.1875,44
10,M2,2024-09-16,2024-10-29,66,11.0,0.16666666666666666,43
10,M3,2024-10-01,2024-11-14,66,9.0,0.13636363636363635,44
11,M2,2024-09-16,2024-10-29,72,27.0,0.375,43
11,M3,2024-10-01,2024-11-14,72,23.0,0.3194444444444444,44
12,M2,2024-09-16,2024-10-29,39,9.0,0.23076923076923078,43
12,M3,2024-10-01,2024-11-14,39,8.0,0.20512820512820512,44
13,M2,2024-09-16,2024-10-29,22,11.0,0.5,43
13,M3,2024-10-01,2024-11-14,44,13.0,0.29545454545454547,44
14,M2,2024-09-16,2024-10-29,96,26.0,0.2708333333333333,43
14,M3,2024-10-01,2024-11-14,96,21.0,0.21875,44
15,M2,2024-09-16,2024-10-29,8,6.0,0.75,43
15,M3,2024-10-01,2024-11-14,57,16.0,0.2807017543859649,44
16,M2,2024-09-16,2024-10-29,73,33.0,0.4520547945205479,43
16,M3,2024-10-01,2024-11-14,73,33.0,0.4520547945205479,44
17,M2,2024-09-16,2024-10-29,73,18.0,0.2465753424657534,43
17,M3,2024-10-01,2024-11-14,73,17.0,0.2328767123287671,44
18,M2,2024-09-16,2024-10-29,71,20.0,0.28169014084507044,43
18,M3,2024-10-01,2024-11-14,71,11.0,0.15492957746478872,44
19,M2,2024-09-16,2024-10-29,27,13.0,0.48148148148148145,43
19,M3,2024-10-01,2024-11-14,27,11.0,0.4074074074074074,44
30,M2,2024-09-17,2024-10-29,101,42.0,0.4158415841584158,42
30,M3,2024-10-01,2024-11-14,101,30.0,0.297029702970297,44
31,M2,2024-09-17,2024-10-29,59,20.0,0.3389830508474576,42
31,M3,2024-10-01,2024-11-14,63,17.0,0.2698412698412698,44
32,M2,2024-09-17,2024-10-29,65,20.0,0.3076923076923077,42
32,M3,2024-10-01,2024-11-14,130,36.0,0.27692307692307694,44
33,M2,2024-09-17,2024-10-29,48,29.0,0.6041666666666666,42
33,M3,2024-10-01,2024-11-14,130,54.0,0.4153846153846154,44
34,M2,2024-09-17,2024-10-29,75,31.0,0.41333333333333333,42
34,M3,2024-10-01,2024-11-14,150,60.0,0.4,44
35,M2,2024-09-17,2024-10-29,56,19.0,0.3392857142857143,42
35,M3,2024-10-01,2024-11-14,124,45.0,0.3629032258064516,44
36,M2,2024-09-17,2024-10-29,120,40.0,0.3333333333333333,42
36,M3,2024-10-01,2024-11-14,240,78.0,0.325,44
37,M2,2024-09-17,2024-10-29,91,24.0,0.26373626373626374,42
37,M3,2024-10-01,2024-11-14,182,36.0,0.1978021978021978,44
38,M2,2024-09-17,2024-10-29,50,15.0,0.3,42
38,M3,2024-10-01,2024-11-14,102,26.0,0.2549019607843137,44
39,M2,2024-09-17,2024-10-29,89,40.0,0.449438202247191,42
39,M3,2024-10-01,2024-11-14,178,76.0,0.42696629213483145,44
40,M2,2024-09-17,2024-10-29,18,13.0,0.7222222222222222,42
40,M3,2024-10-01,2024-11-14,112,24.0,0.21428571428571427,44
41,M2,2024-09-17,2024-10-29,72,32.0,0.4444444444444444,42
41,M3,2024-10-01,2024-11-14,144,56.0,0.3888888888888889,44
42,M2,2024-09-17,2024-10-29,79,52.0,0.6582278481012658,42
42,M3,2024-10-01,2024-11-14,158,50.0,0.31645569620253167,44
43,M2,2024-09-17,2024-10-29,44,20.0,0.45454545454545453,42
43,M3,2024-10-01,2024-11-14,74,28.0,0.3783783783783784,44
44,M2,2024-09-17,2024-10-29,89,48.0,0.5393258426966292,42
44,M3,2024-10-01,2024-11-14,178,28.0,0.15730337078651685,44
45,M2,2024-09-17,2024-10-29,16,11.0,0.6875,42
45,M3,2024-10-01,2024-11-14,32,4.0,0.125,44
46,M2,2024-09-17,2024-10-29,46,25.0,0.5434782608695652,42
46,M3,2024-10-01,2024-11-14,142,48.0,0.3380281690140845,44
47,M2,2024-09-17,2024-10-29,73,21.0,0.2876712328767123,42
47,M3,2024-10-01,2024-11-14,154,34.0,0.22077922077922077,44
48,M2,2024-09-17,2024-10-29,63,34.0,0.5396825396825397,42
48,M3,2024-10-01,2024-11-14,126,60.0,0.47619047619047616,44
49,M2,2024-09-17,2024-10-29,84,29.0,0.34523809523809523,42
49,M3,2024-10-01,2024-11-14,168,54.0,0.32142857142857145,44
60,M2,2024-09-12,2024-11-04,82,9.0,0.10975609756097561,53
60,M3,2024-09-26,2024-11-14,82,5.0,0.06097560975609756,49
61,M2,2024-09-12,2024-11-04,22,3.0,0.13636363636363635,53
61,M3,2024-09-26,2024-11-14,47,8.0,0.1702127659574468,49
62,M2,2024-09-12,2024-11-04,31,8.0,0.25806451612903225,53
62,M3,2024-09-26,2024-11-14,41,7.0,0.17073170731707318,49
63,M3,2024-09-26,2024-11-14,46,13.0,0.2826086956521739,49
64,M2,2024-09-12,2024-11-04,18,7.0,0.3888888888888889,53
64,M3,2024-09-26,2024-11-14,68,22.0,0.3235294117647059,49
65,M2,2024-09-12,2024-11-04,14,2.0,0.14285714285714285,53
65,M3,2024-09-26,2024-11-14,14,1.0,0.07142857142857142,49
66,M2,2024-09-12,2024-11-04,47,41.0,0.8723404255319149,53
66,M3,2024-09-26,2024-11-14,66,35.0,0.5303030303030303,49
67,M3,2024-09-26,2024-11-14,33,20.0,0.6060606060606061,49
68,M2,2024-09-12,2024-11-04,15,8.0,0.5333333333333333,53
68,M3,2024-09-26,2024-11-14,28,13.0,0.4642857142857143,49
69,M3,2024-09-26,2024-11-14,71,24.0,0.3380281690140845,49
70,M2,2024-09-12,2024-11-04,50,9.0,0.18,53
70,M3,2024-09-26,2024-11-14,66,14.0,0.21212121212121213,49
71,M2,2024-09-12,2024-11-04,52,18.0,0.34615384615384615,53
71,M3,2024-09-26,2024-11-14,52,12.0,0.23076923076923078,49
72,M2,2024-09-12,2024-11-04,23,5.0,0.21739130434782608,53
72,M3,2024-09-26,2024-11-14,50,7.0,0.14,49
73,M3,2024-09-26,2024-11-14,75,32.0,0.4266666666666667,49
74,M3,2024-09-26,2024-11-14,72,39.0,0.5416666666666666,49
75,M3,2024-09-26,2024-11-14,57,11.0,0.19298245614035087,49
76,M3,2024-09-26,2024-11-14,58,18.0,0.3103448275862069,49
77,M2,2024-09-12,2024-11-04,52,15.0,0.28846153846153844,53
77,M3,2024-09-26,2024-11-14,44,8.0,0.18181818181818182,49
78,M2,2024-09-12,2024-11-04,10,7.0,0.7,53
78,M3,2024-09-26,2024-11-14,34,11.0,0.3235294117647059,49
79,M2,2024-09-12,2024-11-04,48,7.0,0.14583333333333334,53
79,M3,2024-09-26,2024-11-14,48,6.0,0.125,49
90,M1,2024-09-12,2024-11-04,4,2.0,0.5,53
90,M2,2024-09-26,2024-11-14,4,2.0,0.5,49
91,M1,2024-09-12,2024-11-04,10,4.0,0.4,53
92,M1,2024-09-12,2024-11-04,26,17.0,0.6538461538461539,53
93,M1,2024-09-12,2024-11-04,35,17.0,0.4857142857142857,53
94,M1,2024-09-12,2024-11-04,44,12.0,0.2727272727272727,53
95,M1,2024-09-12,2024-11-04,63,30.0,0.47619047619047616,53
96,M1,2024-09-12,2024-11-04,45,10.0,0.2222222222222222,53
